Time,Time Code,Country Name,Country Code,"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Forest area (sq. km) [AG.LND.FRST.K2],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],Urban population growth (annual %)
2018,YR2018,Argentina,ARG,4.537878897,12.90753425,3.975771971,287910,7.40512875,1.147602159
2018,YR2018,Australia,AUS,2.458110261,2.52548824,15.50348628,1340051,29.70879373,1.628637215
2018,YR2018,Brazil,BRA,4.420399304,1.141317788,2.064980862,4990514,28.57825261,1.094558477
2018,YR2018,China,CHN,7.043020253,21.03878559,7.487331894,2162190.4,14.58764165,2.503400504
2018,YR2018,France,FRA,1.648876616,13.425,4.572030089,170862,33.20749968,0.687212829
2018,YR2018,Germany,DEU,0.689090612,22.84392523,8.536196091,114190,38.78740347,0.366515156
2018,YR2018,India,IND,16.03163069,44.77869986,1.791032878,716272,3.479306895,2.359169975
2018,YR2018,Indonesia,IDN,12.80849756,11.02863229,2.160470329,933442.7,5.268233446,2.177306227
2018,YR2018,Italy,ITA,1.945420074,18.65517808,5.37687093,94585.1,13.3653061,0.228197851
2018,YR2018,Japan,JPN,1.044412143,18.39534884,8.801681435,249350,10.02628871,-0.038428078
2018,YR2018,"Korea, Rep.",KOR,1.746403394,45.02235929,12.22524582,63070,3.990245738,0.379518534
2018,YR2018,Mexico,MEX,3.383800383,21.72127139,3.649350191,659476.1,19.05623992,1.312866879
2018,YR2018,Netherlands,NLD,1.650673719,73.62454545,8.783850008,3676.3,21.2099165,1.036375039
2018,YR2018,Russian Federation,RUS,3.394253381,1.503246753,11.49657125,8153116,7.616249085,0.176545374
2018,YR2018,Saudi Arabia,SAU,2.138785646,974.1666667,14.88543121,9770,4.528372363,2.649278832
2018,YR2018,Spain,ESP,2.75621979,26.50089928,5.492571471,185635.9,14.97400981,0.738481167
2018,YR2018,Switzerland,CHE,0.643750702,4.217821782,4.40199099,12622.3,9.665184261,0.785417652
2018,YR2018,Turkiye,TUR,5.77601221,26.91347137,4.972025981,219083.6,0.190652367,1.538914517
2018,YR2018,United Kingdom,GBR,0.566929791,5.806206897,5.427748177,31730,28.8252339,0.912161082
2018,YR2018,United States,USA,0.903900643,15.7699117,15.22254765,3097950,26.3280836,0.76743743
2018,YR2018,Afghanistan,AFG,22.04289675,43.01590668,0.165454682,12084.4,0.104707035,3.850832833
2018,YR2018,Albania,ALB,18.42947925,3.56133829,1.782738948,7889,13.52568255,1.317162104
2018,YR2018,Algeria,DZA,11.87420085,87.15212946,3.948290258,19300,7.105493117,2.700947183
2018,YR2018,American Samoa,ASM,..,..,..,171.9,8.71956554,-2.142604233
2018,YR2018,Andorra,AND,0.546367883,..,6.532201212,160,26.72772478,1.48083075
2018,YR2018,Angola,AGO,8.607741802,0.476824324,0.766143022,677175.1,5.004710827,4.500115171
2018,YR2018,Antigua and Barbuda,ATG,1.735911717,8.461538462,5.566105586,82.5,0.258339766,0.093215267
2018,YR2018,Armenia,ARM,13.94231166,39.56845021,2.013003806,3288.9,23.11050281,-0.467403785
2018,YR2018,Aruba,ABW,0.030268667,..,..,4.2,0.141163456,0.765986265
2018,YR2018,Austria,AUT,1.130602891,6.345454545,7.133063919,38919.7,28.39798166,0.835905515
2018,YR2018,Azerbaijan,AZE,5.212505619,149.9322243,3.292832354,11087.15,5.519156836,1.473400152
2018,YR2018,"Bahamas, The",BHS,0.681258722,..,6.966803064,5098.6,8.555106417,0.841151627
2018,YR2018,Bahrain,BHR,0.288059552,3877.5,20.71483283,6.6,1.686352006,2.185530334
2018,YR2018,Bangladesh,BGD,12.48007719,34.16190476,0.509823919,18834,4.888648581,3.296925086
2018,YR2018,Barbados,BRB,1.436059115,87.5,4.433511661,63,0.008873615,0.140144533
2018,YR2018,Belarus,BLR,6.590107726,4.088235294,6.245507315,87386,9.353493353,0.37445941
2018,YR2018,Belgium,BEL,0.603042099,36.67453791,8.196338589,6893,24.64917303,0.496003003
2018,YR2018,Belize,BLZ,7.068349892,0.661861075,1.648929754,12993.7,20.59045099,2.217940205
2018,YR2018,Benin,BEN,28.06477391,1.262135922,0.621404996,32351.5,23.47190856,4.078861381
2018,YR2018,Bermuda,BMU,0.234985525,..,..,10,0.000390137,0.070427498
2018,YR2018,Bhutan,BTN,15.99124824,0.433205128,1.377779115,27211.2,48.00785105,2.583305004
2018,YR2018,Bolivia,BOL,11.48192416,0.687973641,2.00139482,512532.4,30.8654915,1.985657203
2018,YR2018,Bosnia and Herzegovina,BIH,5.885435471,0.878873239,6.646806748,21879.1,1.395147508,-0.398803329
2018,YR2018,Botswana,BWA,2.117310832,8.5,2.981958516,154913,29.14323742,3.122788215
2018,YR2018,British Virgin Islands,VGB,..,..,..,36.2,0.023926598,1.720877107
2018,YR2018,Brunei Darussalam,BRN,1.017623081,1.082352941,17.36231034,3800,8.98950186,1.334193204
2018,YR2018,Bulgaria,BGR,3.384609604,25.83333333,5.82203361,38670,28.29699048,-0.269102082
2018,YR2018,Burkina Faso,BFA,20.99747328,6.544,0.229003261,63164,14.92288055,4.885763881
2018,YR2018,Burundi,BDI,29.01190049,2.784294235,0.060034078,2796.4,7.591471706,5.517135369
2018,YR2018,Cabo Verde,CPV,5.291984295,8.433333333,1.067923457,451.2,0.015591705,1.818752369
2018,YR2018,Cambodia,KHM,22.0129559,1.810945274,0.909814876,83797.5,20.64949541,2.98134356
2018,YR2018,Cameroon,CMR,16.4988007,0.398681319,0.382426004,204524.8,10.38214511,3.828378075
2018,YR2018,Canada,CAN,1.699891576,1.272035088,15.65057904,3470020.7,6.477193623,1.487415579
2018,YR2018,Cayman Islands,CYM,0.408587365,..,..,128.1,0.103453166,2.028637661
2018,YR2018,Central African Republic,CAF,31.24133151,0.05141844,0.045144246,223630,18.06482422,2.875770155
2018,YR2018,Chad,TCD,45.09623634,5.864,0.140346743,45350,20.3544358,4.25364266
2018,YR2018,Channel Islands,CHI,..,..,..,..,..,1.227868824
2018,YR2018,Chile,CHL,3.927435925,9.618983051,4.631191732,179648.7,27.03923858,1.880510218
2018,YR2018,Colombia,COL,6.22570969,1.304584965,1.594862888,595404.8,15.68852127,2.307438449
2018,YR2018,Comoros,COM,33.72015306,0.833333333,0.386442082,338,0.125684891,2.532020265
2018,YR2018,"Congo, Dem. Rep.",COD,18.88734319,0.075955556,0.035826095,1283579.9,13.75675622,4.585954982
2018,YR2018,"Congo, Rep.",COG,6.909114704,0.020720721,1.192781808,219760,36.83827952,3.079472989
2018,YR2018,Costa Rica,CRI,4.483828337,2.132743363,1.66047244,30021.3,3.035389593,1.922588528
2018,YR2018,Cote d'Ivoire,CIV,20.54857036,1.512233212,0.399702062,30624.8,14.89154711,3.462574019
2018,YR2018,Croatia,HRV,2.951463467,1.785145889,4.019234669,19341.1,23.58172659,-0.400587698
2018,YR2018,Cuba,CUB,3.783108446,18.25288562,2.357823427,32420,7.184622808,0.005901441
2018,YR2018,Curacao,CUW,0.15419414,..,..,0.7,0.258715834,-0.590340791
2018,YR2018,Cyprus,CYP,1.728541444,26.53846154,5.907299543,1725.7,1.68708522,0.810470834
2018,YR2018,Czechia,CZE,1.93625259,12.09885932,9.492068199,26734.7,22.155676,0.493103393
2018,YR2018,Denmark,DNK,1.026569351,18.32461667,5.718343553,6265.6,17.92764183,0.629088603
2018,YR2018,Djibouti,DJI,1.416710012,6.333333333,0.378358648,56.4,1.232094286,1.783753445
2018,YR2018,Dominica,DMA,11.02357999,10,2.400350194,478.7,0.6733322,1.02288263
2018,YR2018,Dominican Republic,DOM,5.147782819,30.37021277,2.35102193,21279.2,19.21573704,2.092759383
2018,YR2018,Ecuador,ECU,8.949269523,2.24136528,2.359001713,126263.7,14.95513971,2.127790937
2018,YR2018,"Egypt, Arab Rep.",EGY,11.22500023,7750,2.389706724,449.8,11.55079702,1.89658912
2018,YR2018,El Salvador,SLV,5.13276853,2.468330134,1.085026906,5928.8,2.151679258,1.198460806
2018,YR2018,Equatorial Guinea,GNQ,2.257979688,0.076153846,4.280699257,24651.4,1.765312041,4.172967625
2018,YR2018,Eritrea,ERI,..,20.78571429,0.246707621,10615.8,2.958340929,2.99776585
2018,YR2018,Estonia,EST,2.089400442,12.65570417,11.58870366,24384,19.50809905,0.58496349
2018,YR2018,Eswatini,SWZ,8.52124468,40.45454545,0.784193441,4951.4,4.233008206,1.515573004
2018,YR2018,Ethiopia,ETH,31.21880078,8.645983607,0.15513441,172145,18.47496031,4.87923658
2018,YR2018,Faroe Islands,FRO,16.32000318,..,..,0.8,0.023371679,1.79353785
2018,YR2018,Fiji,FJI,10.90656435,0.29737303,1.773674744,11266.6,0.99036935,0.901096948
2018,YR2018,Finland,FIN,2.386683914,2.61682243,8.082639791,224090,14.16031393,0.199422968
2018,YR2018,French Polynesia,PYF,..,..,..,1494.6,0.005850397,0.808051035
2018,YR2018,Gabon,GAB,5.435952803,0.084817073,2.335753584,235543.6,25.1293641,2.833171531
2018,YR2018,"Gambia, The",GMB,19.87159618,3.386666667,0.224956609,2541.4,1.366154072,3.742600951
2018,YR2018,Georgia,GEO,6.762198595,2.221090659,2.568059536,28224,6.442949313,0.647230647
2018,YR2018,Ghana,GHA,18.13655055,4.780858086,0.605105683,79712.6,7.794719421,3.294336639
2018,YR2018,Gibraltar,GIB,..,..,..,0,13.15933523,0.140996192
2018,YR2018,Greece,GRC,3.635408491,17.45172414,6.0580184,39018,11.02835053,0.220496954
2018,YR2018,Greenland,GRL,18.4301491,..,..,2.2,22.37828286,0.016449736
2018,YR2018,Grenada,GRD,5.205455966,7.05,2.626438327,177,0.222068705,1.053204008
2018,YR2018,Guam,GUM,..,..,..,280,0.071134099,0.128309061
2018,YR2018,Guatemala,GTM,9.435507565,3.044047619,1.120698338,35510,10.12111264,2.335647233
2018,YR2018,Guinea,GIN,22.94000927,0.39380531,0.298689018,62690,24.79928495,3.498230942
2018,YR2018,Guinea-Bissau,GNB,30.72370337,1.09375,0.166237649,19968.9,11.61993346,3.334025823
2018,YR2018,Guyana,GUY,19.53579387,0.599460581,3.297204014,184337.5,5.306077348,3.130889971
2018,YR2018,Haiti,HTI,18.64785769,11.14784347,0.298753559,3535.2,0.353092294,3.061529887
2018,YR2018,Honduras,HND,11.61016046,1.772556806,1.026258974,64011.6,10.86370093,2.835216397
2018,YR2018,"Hong Kong SAR, China",HKG,0.062142272,..,..,..,48.92550475,0.800230597
2018,YR2018,Hungary,HUN,3.486393766,81.9743583,4.746529359,20559.2,22.59755816,0.279085902
2018,YR2018,Iceland,ISL,3.921269204,0.170588235,4.819673475,500.4,2.50646685,2.720893704
2018,YR2018,"Iran, Islamic Rep.",IRN,11.2190019,72.33463035,7.445084604,107270.3,7.666520673,1.983072682
2018,YR2018,Iraq,IRQ,2.815817643,95.35227273,4.019393455,8250,1.531327587,2.694646718
2018,YR2018,Ireland,IRL,0.891399017,2.912244898,7.737323783,7740.2,4.042231006,1.59251568
2018,YR2018,Isle of Man,IMN,0.410935899,..,..,34.6,4.229107195,0.482367261
2018,YR2018,Israel,ISR,1.385569111,148.2666667,6.87621041,1400,8.582712219,2.015384411
2018,YR2018,Jamaica,JAM,6.592227603,12.4734362,3.062057218,5891.2,1.405642855,0.656204859
2018,YR2018,Jordan,JOR,4.380843831,135.3372434,2.369055498,975,1.805987143,2.62043448
2018,YR2018,Kazakhstan,KAZ,4.395858103,36.58430458,11.8513159,33962.012,3.217164026,1.474855819
2018,YR2018,Kenya,KEN,20.31491042,19.47826087,0.350126986,36110.9,10.50508289,3.779308361
2018,YR2018,Kiribati,KIR,25.34566985,..,0.736130112,11.8,11.82104668,3.047901792
2018,YR2018,"Korea, Dem. People's Rep.",PRK,..,12.92208955,1.970891065,60725.5,1.260223444,0.83399112
2018,YR2018,Kosovo,XKX,6.531164333,..,..,..,..,..
2018,YR2018,Kuwait,KWT,0.447338717,..,21.16888653,62.5,10.99895775,4.55608227
2018,YR2018,Kyrgyz Republic,KGZ,11.67528648,15.75107296,1.779275005,12789,6.702692983,2.586280571
2018,YR2018,Lao PDR,LAO,15.70918682,3.844537815,2.724839446,166645,16.68220563,3.352344138
2018,YR2018,Latvia,LVA,3.593805161,1.082344699,4.042188179,34030.5,17.51104767,-0.680734207
2018,YR2018,Lebanon,LBN,3.231897283,37.75,4.66992989,1421.3,1.042726632,-2.441912551
2018,YR2018,Lesotho,LSO,4.254968356,0.837476099,0.332117549,345.2,0.261388681,2.768379164
2018,YR2018,Liberia,LBR,35.49669991,0.07295,0.231112626,76779.6,1.211086308,2.8069116
2018,YR2018,Libya,LBY,3.66012922,817.1428571,8.740631096,2170,0.28857344,1.904865083
2018,YR2018,Liechtenstein,LIE,0.139045931,..,3.666745255,67,11.93510418,0.917605998
2018,YR2018,Lithuania,LTU,2.87960341,1.645472186,4.158422562,21980,17.76420869,-0.713094844
2018,YR2018,Luxembourg,LUX,0.234654472,5.22,15.33020757,887,40.87274138,2.208365157
2018,YR2018,"Macao SAR, China",MAC,..,..,..,..,..,1.920344372
2018,YR2018,Madagascar,MDG,23.9733833,3.993323442,0.124783297,124562.4,2.345947866,4.369275537
2018,YR2018,Malawi,MWI,21.62943584,8.406443618,0.07513114,23257,22.87604771,4.010947456
2018,YR2018,Malaysia,MYS,7.512087639,1.15637931,7.543688365,192143.4,8.985544742,2.093288446
2018,YR2018,Maldives,MDV,5.235853287,15.66666667,4.287831755,8.2,0.051887378,4.680509203
2018,YR2018,Mali,MLI,37.61244316,8.643333333,0.274401426,132960,8.231610055,5.043163163
2018,YR2018,Malta,MLT,0.697028174,85.14851485,3.198316143,4.6,6.409364293,3.561784372
2018,YR2018,Marshall Islands,MHL,16.48094221,..,3.913979585,94,0.27044112,-2.053517618
2018,YR2018,Mauritania,MRT,23.655966,337.05,0.86402456,3237,1.080703015,4.218804132
2018,YR2018,Mauritius,MUS,2.563958988,21.48309706,3.264040403,386.9,0.01147342,-0.063139385
2018,YR2018,"Micronesia, Fed. Sts.",FSM,22.51219919,..,1.532511803,643.6,0.015781437,0.869397301
2018,YR2018,Moldova,MDA,10.27091935,51.66666667,3.154547318,3865,4.150534549,-1.587943518
2018,YR2018,Monaco,MCO,..,..,..,0,99.4595712,-0.040500588
2018,YR2018,Mongolia,MNG,11.42800452,1.328735632,6.811017869,141750,17.71388257,2.291248126
2018,YR2018,Montenegro,MNE,6.732237789,..,4.017826292,8270,4.160377366,0.480793342
2018,YR2018,Morocco,MAR,11.30554024,36.45862069,1.808085149,57215.9,18.44688821,1.994383198
2018,YR2018,Mozambique,MOZ,24.56767288,1.468594217,0.236202713,372241.68,13.44871589,4.43901443
2018,YR2018,Myanmar,MMR,23.0027856,3.3138213,0.625450763,291233.1,4.619418953,1.563686688
2018,YR2018,Namibia,NAM,7.768297689,4.576298701,1.758338607,67809.2,23.24717006,3.799216628
2018,YR2018,Nauru,NRU,..,..,5.031868388,0,..,2.05039802
2018,YR2018,Nepal,NPL,22.33467205,4.791675076,0.532856949,59620.3,23.62604198,3.208393948
2018,YR2018,New Caledonia,NCL,..,..,..,8382.2,96.01276245,0.738880279
2018,YR2018,New Zealand,NZL,5.662576267,3.019877676,6.603273193,98551.5,30.50506322,1.8744789
2018,YR2018,Nicaragua,NIC,15.32234518,0.987964919,0.777513538,36075.3,15.50710424,1.786890039
2018,YR2018,Niger,NER,37.66166253,69.47174286,0.086370866,11045.4,17.31709252,4.245276178
2018,YR2018,Nigeria,NGA,21.20377372,5.643438914,0.553915601,219535.5,11.61069961,4.148946368
2018,YR2018,North Macedonia,MKD,8.47039847,19.33333333,3.51601022,10014.9,9.654065158,0.454315123
